YEAR1879,YEAR1882
850,883
740,816
900,778
1070,796
930,682
850,711
950,611
980,599
980,1051
880,781
1000,578
980,796
930,774
650,820
760,772
810,696
1000,573
1000,748
960,748
960,797
960,851
940,809
960,723
940,
880,
800,
850,
880,
900,
840,
830,
790,
810,
880,
880,
830,
800,
790,
760,
800,
880,
880,
880,
860,
720,
720,
620,
860,
970,
950,
880,
910,
850,
870,
840,
840,
850,
840,
840,
840,
890,
810,
810,
820,
800,
770,
760,
740,
750,
760,
910,
920,
890,
860,
880,
720,
840,
850,
850,
780,
890,
840,
780,
810,
760,
810,
790,
810,
820,
850,
870,
870,
810,
740,
810,
940,
950,
800,
810,
870,
